"type_analysis","cohort","score","term","estimate","std.error","statistic","p.value","HR"
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","age",0.0567152337524123,0.010886554098736,5.20965892770396,1.8918809239639e-07,1.05835438387297
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","node_stageN1",0.476200705597867,0.336308315475216,1.41596470763733,0.156785837767849,1.60994610873037
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","node_stageN2",1.09466101517939,0.581772588932351,1.88159606692415,0.0598908806554443,2.98816956756282
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","node_stageN3",0.824240143237846,0.706394279596297,1.16682731874457,0.24328011221383,2.2801475213913
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","tumor_stagestage_ii",0.276215858435805,0.383952215910169,0.719401652054613,0.471893479242516,1.31813236331054
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","tumor_stagestage_iii",0.265666942198468,0.554979764556066,0.478696628535597,0.632154464640894,1.30430057885417
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.45316423474658,0.737296332838902,-1.97093647428203,0.0487311424674724,0.233829225703695
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","age",0.0543516491298734,0.0109480240355903,4.9645167888913,6.88723286247422e-07,1.05585582766376
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","node_stageN1",0.487664887426536,0.337299024443268,1.44579394568797,0.148235004742027,1.62850902467106
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","node_stageN2",1.14067956714181,0.587824947442621,1.94050894250818,0.0523178684532471,3.12889393637955
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","node_stageN3",0.912130694798677,0.711413855912346,1.28213793872334,0.199794262294553,2.48962150973089
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","tumor_stagestage_ii",0.276274392756463,0.384106656681585,0.719264787398588,0.471977787602689,1.31820952155115
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","tumor_stagestage_iii",0.199016757637233,0.558764016198543,0.35617318200125,0.721710874415636,1.22020241343794
"os","tcga","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",-2.27148265520376,0.859143019111638,-2.64389351327384,0.00819584358466826,0.103159117239438
"os","tcga","SET_ERPR","age",0.0598999745222749,0.0105804953292004,5.6613582501153,1.50179531285201e-08,1.06173034114924
"os","tcga","SET_ERPR","node_stageN1",0.491249760541679,0.337921019941039,1.45374135242428,0.146018028736397,1.63435749964834
"os","tcga","SET_ERPR","node_stageN2",1.08950853606705,0.582593873549099,1.87009954195,0.0614699960909584,2.97281268326916
"os","tcga","SET_ERPR","node_stageN3",0.921117875079167,0.708764448198166,1.29961072034701,0.193734423545292,2.5120970315747
"os","tcga","SET_ERPR","tumor_stagestage_ii",0.32765013562628,0.38489129431499,0.851279674198437,0.394614013062295,1.3877033793748
"os","tcga","SET_ERPR","tumor_stagestage_iii",0.343683673490105,0.551452484417036,0.623233520932321,0.533131076698918,1.41013250265652
"os","tcga","SET_ERPR","SET_ERPR",-1.46820338127532,0.39763624663053,-3.69232783408581,0.000222210765540212,0.230338944922228
"os","tcga","random_200","age",0.0617501978887594,0.0107561237562366,5.74093412163981,9.4155717225859e-09,1.06369659788148
"os","tcga","random_200","node_stageN1",0.430529347580059,0.334785819863858,1.28598441760507,0.198448499956816,1.5380714825129
"os","tcga","random_200","node_stageN2",1.04705509410593,0.579319934765939,1.8073866119055,0.0707020199440809,2.84924798373528
"os","tcga","random_200","node_stageN3",0.836298876228518,0.706251112738912,1.18413813605938,0.236358386099275,2.30780966150974
"os","tcga","random_200","tumor_stagestage_ii",0.338004180413856,0.38169373390972,0.885537671660605,0.375866711000773,1.40214636494516
"os","tcga","random_200","tumor_stagestage_iii",0.448465346981723,0.548231515797347,0.818021828477839,0.413344723167035,1.5659072163297
"os","tcga","random_200","random_200",-1.49435203995335,1.3603405844892,-1.0985131642709,0.271980472505376,0.224393955952724
"os","tcga","random_18","age",0.0592780477420013,0.0107137983950725,5.53286944145453,3.15033968214652e-08,1.06107022790898
"os","tcga","random_18","node_stageN1",0.416063362235048,0.335717135991992,1.23932715262105,0.215224367108381,1.51598192183033
